Verb,Transport,Construction_type,Normal_form,Prefix,Tense,Aspect,Number,Full_context,Sent_length,Author,Header,Created
ехали,поездом,INS,ехать,no,past,impf,sing,"Помню: мы ехали поездом в Париж, и в Варшаве стоянка длилась полчаса ― он радовался, что можно выйти из вагона и не быть кем-то узнанным. ",25,И. Э. Кио,Иллюзии без иллюзий,1995
ехал,поездом,INS,ехать,no,past,impf,sing,"Тогда наркомы ездили запросто: до Кубинки Семашко ехал поездом, там его должны были встретить и на коляске везти дальше. ",19,Даниил Гранин,Зубр,1987
ехал,поездом,INS,ехать,no,past,impf,sing,"В апреле 1974 года Глебов ехал поездом в Париж на конгресс МАЛЭ  ( Международной ассоциации литературоведов и эссеистов, где он был членом правления секции эссеистики) и встретил в вагоне Левкину мать Алину Федоровну. ",33,Юрий Трифонов,Дом на набережной,1976
посылает,поездом,INS,посылать,yes,pres,impf,sing,"Один посылает поездом дружка с товаром на сто тысяч долларов, второй, оказывается, на электричке едет, да еще и опаздывает. ",19,Алексей Моторов,Преступление доктора Паровозова,2013
прибывает,поездом,INS,прибывать,yes,pres,impf,sing,Через пару дней пришла телеграмма от супруги: прибывает поездом второго апреля.   ,11,Борис Поздняков,Ананасы,2013
выехали,поездом,INS,выехать,yes,past,perf,sing,В 6 вечера выехали поездом в Ляоянь. ,7,А. Г. Колмогоров,Мне доставшееся: Семейные хроники Надежды Лухмановой,2012
проследовали,поездом,INS,проследовать,yes,past,perf,sing,"Далее воспитанники проследовали поездом до Москвы и посетили священные для каждого воина места сражений при Бородино, Малоярославце и Вязьме.   ",19,А. Г. Колмогоров,Мне доставшееся: Семейные хроники Надежды Лухмановой,2012
поехала,поездом,INS,поехать,yes,past,perf,sing,А я бы поехала поездом. ,5,Вацлав Михальский,Река времен. Ave Maria,2010
отправили,поездом,INS,отправить,yes,past,perf,sing,"Реденса выслали в Омск, отправили поездом, первый Новый год ― не дома, из репродукторов каждой станции звучал новый гимн ― только что приняли.   ",23,Александр Терехов,Каменный мост,1997
приезжают,поездом,INS,приезжать,yes,pres,impf,sing,"И был немного удивлен, когда получил сообщение, что они приезжают поездом в три часа ночи. ",15,Вадим Баевский,Сорок лет,2007
приехал,поездом,INS,приехать,yes,past,perf,sing,Только Тайманов приехал поездом.   ,4,Александр Злочевский,От перемены слагаемых…,2004
отправились,поездом,INS,отправиться,yes,past,perf,sing,"Я заключил первый договор в кино, и мы всей группой отправились поездом в город Калининград ( бывший Кенигсберг).   ",18,Владлен Давыдов,Театр моей мечты,2004
ехал,поездом,INS,ехать,no,past,impf,sing,"Он рассказывает, что самолет испортился, что он вернулся на подводе обратно в Тюмень и ехал поездом.   ",16,Лидия Вертинская,Синяя птица любви,2004
доехали,поездом,INS,доехать,yes,past,perf,sing,"До Великих Лук доехали поездом, а затем шли маршевым порядком, преодолевая в сутки более семидесяти километров.   ",16,,Мозаика войны,2004
повезли,поездом,INS,повезти,yes,past,perf,sing,"Нас повезли поездом в сторону Эстонии, под Котлы. ",8,Александр Сегаль,"Война, как она есть",2003
драпают,поездом,INS,драпать,no,pres,impf,sing,"В Выгоничах пришлось наблюдать, как немцы драпают поездом. ",8,Александр Царев,«Я Иван колхозный...»,2003
поехала,поездом,INS,поехать,yes,past,perf,sing,В Румынию Раневская поехала поездом.   ,5,Алексей Щеглов,Фаина Раневская: вся жизнь,2003
тащились,поездом,INS,тащиться,no,past,impf,sing,"Из Москвы в Иркутск чуть ли не месяц тащились поездом по ветке Турксиба, проложенной в 1920- х годах; в Америку плыли на пароходе. ",23,Белла Езерская,Прекрасная привычка — жить. Раздумья после одного юбилея,2003
ехали,поездами,INS,ехать,no,past,impf,plur,"Гости летели самолетами, ехали поездами, спешили на встречу с юностью, со школой, которую покинули 50, 40, 30 лет назад.   ",19,Елена Гиль,Свидание с юностью,2003
уезжали,поездом,INS,уезжать,yes,past,impf,sing,Синявских же мы с Воронелем в августе 1973- го лично проводили с Белорусского вокзала ― они почему-то уезжали поездом. ,19,Нина Воронель,Без прикрас. Воспоминания,1975
ехал,поездом,INS,ехать,no,past,impf,sing,"Голев ехал поездом, через сухопутный Симферополь. ",6,Анна Матвеева,Голев и Кастро. Приключения гастарбайтера,2002
поеду,поездом,INS,поехать,yes,futr,perf,sing,"Я поеду поездом, ― сказала она Сергею. ",7,Галина Щербакова,"Ах, Маня...",2002
ездил,поездом,INS,ездить,no,past,impf,sing,Каждое лето я ездил поездом к бабушке в Брянскую область. ,10,Елена Пашина,«Анекдотам о себе я бы только порадовался»,2002
отправили,поездом,INS,отправить,yes,past,perf,sing,"Мы его одели, у него была одежда порвана, и передали в дежурную часть линейного отделения внутренних дел, чтобы они его отправили поездом в Москву. ",24,Игорь Синякевич,Пропал сын польского депутата,2002
Ехали,поездом,INS,ехать,no,past,impf,sing,Ехали поездом « Санкт-Петербург ― Адлер» вместе с обычными пассажирами. ,10,Илья Анпилогов,"Уроки армии и войны, или Хроника чеченских будней. Из дневника солдата-срочника",2002
